category,question_txt,option_a,option_b,option_c,option_d,ans
numerical,An item priced at $80 is increased by 15% and then decreased by 20% of the new price. What is the final price?,MWK72.00,MWK73.60,MWK74.00,MWK76.00,b
numerical,"If A:B = 2:3 and B:C = 5:4, what is A:C?",3.50,5.6,6.5,4.5,b
numerical,A 120 m long train passes a pole in 9 seconds. What is its speed (km/h)?,40,45,48,54,c
numerical,"Find the simple interest on MWK2,500 at 6% per annum for 3 years.",MWK360,MWK420,MWK450,MWK540,c
numerical,Which is the largest fraction?,  5/12,  3/7 ,  7/15,  4/9 ,c
numerical,"Find the next term: 2, 6, 12, 20, 30, ?",38,40,42,44,c
numerical,"A can complete a job in 12 days and B in 18 days. Working together, how many days to finish the job?",6 days,7.2 days,8 days,9 days,b
numerical,A phone bought for MWK240 is sold at a 25% loss. What is the selling price?,MWK150,MWK170,MWK180,MWK200,c
numerical,"Company sales (thousand units): Q1=320, Q2=400, Q3=360, Q4=440. What is the % increase from Q1 to Q4?",25.0%,33.3%,37.5%,40.0%,c
numerical,"How many 3-digit numbers can be formed from digits 1–5, without repetition, that are even?",12,18,20,24,d
numerical,"Class A average = 72 (25 students), Class B average = 68 (35 students). Combined average?",69.2,69.5,70,,c
numerical,"Pipe A fills a tank in 12 h, B in 15 h; drain C empties in 20 h. All opened together. Time to fill?",8 h,9 h,10 h,12 h ,c
numerical,Solve for x: 8^x = 32.,1.5,5/3,7/4,2,b
numerical,"If $1 = MWK 1700, how many dollars equal MWK 510,000?",$250,$300,$350,$380,b
numerical,The sum of two numbers is 50 and their difference is 14. What is the larger number?,18,28,32,36,c
numerical,"From a standard 52-card deck, what is the probability of drawing a King or a Queen?",1/13,2/13,3/26,4/13,b
numerical,"The ratio of present ages of X and Y is 4:5. If their sum is 45, what is X’s age?",16,18,20,24,c
numerical,"Fill the missing term: 1, 3, 9, 27, ?, 243",54,72,81,90,c
numerical,"Find the compound interest on MWK5,000 at 8% per annum for 2 years (compounded annually).",MWK800,MWK816,MWK832,MWK864,c
numerical,"After a 20% discount, the sale price is $144. What was the original price?",MWK160,MWK170,MWK175,MWK180,d
